path,module,kind,status,lines,bytes,role_hint,symbols,dependencies,extraction_capped,blob
axi2flit/systemc/integration/aou_target.h,axi2flit,source,indexed,263,12830,AoU接收端请求重组、槽位/credit与响应封包,sc_module@30 (C/C++ function candidate) | idle@35 (C/C++ function candidate) | WriteJob@45 (class/type) | Reply@46 (class/type) | Ticket@47 (class/type) | capacity@61 (C/C++ function candidate) | require@73 (C/C++ function candidate) | release@76 (C/C++ function candidate) | receive@80 (C/C++ function candidate) | assemble@128 (C/C++ function candidate) | submit@150 (C/C++ function candidate) | collect@172 (C/C++ function candidate) | next_message@186 (C/C++ function candidate) | transmit@220 (C/C++ function candidate) | run@250 (C/C++ function candidate),aou_stream_decoder.h | ucie_aou_adapter.h | msg_decoder.h | credit_manager.h | simple_mem_if.h | axi_contract.h | deque,False,fe1303bbeaf1a8ea0ad253f4bc608d4327565795
axi2flit/systemc/integration/simple_burst_memory.h,axi2flit,source,indexed,87,3959,AW/W路由、请求队列与B/R输出,sc_module@19 (C/C++ function candidate) | run@32 (C/C++ function candidate),simple_mem_if.h | axi_contract.h | stdexcept,False,987ebf80ab54f547812b19bd9e91a27119eaeecc
axi2flit/systemc/integration/ucie_aou_adapter.h,axi2flit,source,indexed,97,3828,FlitTransfer与UCIe FDI之间的适配,make_aou_ucie_config@13 (C/C++ function candidate) | require_aou_ucie_config@21 (C/C++ function candidate) | sc_module@44 (C/C++ function candidate) | transfer@53 (C/C++ function candidate),aou_wire.h | ucie_common.h | ucie_fdi.h | cmath,False,62e9360c6cc6b4c2edf3b535a6d1df78b3b11ecd
axi2flit/systemc/scripts/full_link_wave.py,axi2flit,source,indexed,153,7947,AW/W路由、请求队列与B/R输出,read_vcd@11 (def) | choose@102 (C/C++ function candidate) | choose@102 (function) | choose@102 (shell function) | add@105 (C/C++ function candidate) | add@105 (function) | draw@107 (C/C++ function candidate) | draw@107 (function) | draw@107 (shell function) | main@138 (def),argparse | json | re | pathlib,False,0dc7f3cc6fd599a6a8d96e8909023074ac490d07
axi2flit/systemc/src/axi2flit.cpp,axi2flit,source,indexed,319,12653,AW/W路由、请求队列与B/R输出,sc_module@8 (C/C++ function candidate) | Axi2Flit::map_qos_to_rp@80 (C/C++ function candidate) | Axi2Flit::reset_queues_and_order@83 (C/C++ function candidate) | Axi2Flit::aw_channel_thread@105 (C/C++ function candidate) | Axi2Flit::w_channel_thread@147 (C/C++ function candidate) | Axi2Flit::ar_channel_thread@194 (C/C++ function candidate) | Axi2Flit::b_channel_thread@231 (C/C++ function candidate) | Axi2Flit::r_channel_thread@274 (C/C++ function candidate),axi2flit.h | iostream,False,4d0d665700cf4606af7c48bc09ec88a42b978f0c
axi2flit/systemc/src/flit_packer.cpp,axi2flit,source,indexed,270,11344,按RP credit封包、跨帧spill与flush,sc_module@13 (C/C++ function candidate) | FlitPacker::packing_thread@32 (C/C++ function candidate) | FlitPacker::drain_credit_events@104 (C/C++ function candidate) | FlitPacker::fill_staging_slots@126 (C/C++ function candidate) | FlitPacker::pack_cycle@141 (C/C++ function candidate) | FlitPacker::select_from@173 (C/C++ function candidate) | FlitPacker::select_candidate@185 (C/C++ function candidate) | FlitPacker::consume_candidate@193 (C/C++ function candidate) | FlitPacker::send_dedicated_credit_grant@227 (C/C++ function candidate) | FlitPacker::flush_flit@242 (C/C++ function candidate) | FlitPacker::print_flit_summary@260 (C/C++ function candidate),flit_packer.h | iomanip | iostream,False,09ba58d4a556800e9aa8376c7d6c5f8bff3cbd2d
axi2flit/systemc/src/flit_unpacker.cpp,axi2flit,source,indexed,159,6328,完整帧校验、流式解码与响应反压,sc_module@9 (C/C++ function candidate) | FlitUnpacker::unpacking_thread@18 (C/C++ function candidate) | FlitUnpacker::parse_holding_flit@74 (C/C++ function candidate) | FlitUnpacker::dispatch_message@103 (C/C++ function candidate) | FlitUnpacker::route_messages@125 (C/C++ function candidate) | FlitUnpacker::emit_credit_matrix@148 (C/C++ function candidate),flit_unpacker.h | algorithm | iostream,False,e3882aeffe8654902ded9315a9b3072143c050a5
axi2flit/systemc/tb/tb_aou_wire.cpp,axi2flit,source,indexed,209,10369,AW/W路由、请求队列与B/R输出,check@15 (C/C++ function candidate) | rejects@19 (C/C++ function candidate) | same_message@24 (C/C++ function candidate) | header_golden@28 (C/C++ function candidate) | physical_mapping@76 (C/C++ function candidate) | sample_messages@94 (C/C++ function candidate) | stream_boundaries@111 (C/C++ function candidate) | axi_negative@182 (C/C++ function candidate) | sc_main@201 (C/C++ function candidate),aou_wire.h | aou_format6.h | aou_stream_decoder.h | axi_contract.h | msg_builder.h | credit_manager.h | simple_mem_if.h | iostream | random,False,79577f90529006ae1ed35188c57a948ee52b53b4
axi2flit/systemc/tb/tb_axi2flit.cpp,axi2flit,source,indexed,599,29955,AW/W路由、请求队列与B/R输出,dut_order_violations@56 (C/C++ function candidate) | check@76 (C/C++ function candidate) | wait_cycles@84 (C/C++ function candidate) | wait_until@88 (C/C++ function candidate) | make_header_credit@96 (C/C++ function candidate) | send_inbound_flit@109 (C/C++ function candidate) | send_credit_header@119 (C/C++ function candidate) | send_ar@128 (C/C++ function candidate) | send_aw@135 (C/C++ function candidate) | send_w_burst@145 (C/C++ function candidate) | send_return_messages@156 (C/C++ function candidate) | run_thread@178 (C/C++ function candidate) | check_req_fields_on_wire@450 (C/C++ function candidate) | monitor_thread@481 (C/C++ function candidate) | axi_resp_monitor_thread@528 (C/C++ function candidate) | sc_main@536 (C/C++ function candidate),systemc.h | algorithm | functional | iomanip | iostream | vector | axi2flit.h | tb_common.h | aou_wire.h,False,6386cae97e541c7cbf908894f6ffe04334cfd426
axi2flit/systemc/tb/tb_axi2flit_perf.cpp,axi2flit,source,indexed,875,44910,AW/W路由、请求队列与B/R输出,PerfThresholds@38 (class/type) | check_limit@62 (C/C++ function candidate) | now_ns@73 (C/C++ function candidate) | set_link_one_way_ns@120 (C/C++ function candidate) | link_thread@192 (C/C++ function candidate) | ar_thread@260 (C/C++ function candidate) | aw_thread@296 (C/C++ function candidate) | w_thread@325 (C/C++ function candidate) | resp_thread@353 (C/C++ function candidate) | reads_idle@397 (C/C++ function candidate) | writes_idle@398 (C/C++ function candidate) | Window@401 (class/type) | snapshot@410 (C/C++ function candidate) | report_bandwidth@424 (C/C++ function candidate) | report_mixed@552 (C/C++ function candidate) | report_latency@595 (C/C++ function candidate) | ctrl_thread@636 (C/C++ function candidate) | sc_main@823 (C/C++ function candidate),systemc.h | cmath | deque | iomanip | iostream | axi2flit.h | tb_common.h,False,a00d43d78ba512773b0bd15c0e19357a68198b77
